,E,S,na,naa,nd,nda,nt,size_raw,t_start,t_stop,width_ms,spot
0,0.5608127805199805,0.45200295454980777,39.19081959327831,73.70935986827851,35.85439282911077,-0.04215163292691256,148.7545722906676,159,6.91372662,6.91503664,1.31002,0
1,0.47104244519486543,0.6194290471915864,51.74292789668761,58.715705044510344,67.8794034129854,-0.04123138995221775,178.33803635418334,190,12.06293376,12.06421518,1.2814200000000002,0
2,0.5809004063178961,0.523257608537709,41.597563703553725,56.76147683851003,35.059820670299146,-0.03459309176657834,133.41886121236288,142,12.276640630000001,12.27771574,1.07511,0
3,0.5470950004708227,0.5144044830214664,29.17864855726328,43.801764270396035,28.2186203879842,-0.028750192403822008,101.19903321564351,108,16.16302148,16.163915,0.89352,0
4,0.5436811871962454,0.5598095559083123,60.20486932049723,75.75422647629826,59.03124214299066,-0.0356446141586422,194.99033793978617,207,16.582908930000002,16.58401672,1.10779,0
5,0.5000649034197192,0.5043174506123641,26.79636562372567,45.82140547500459,31.296039513523368,-0.025901622104880336,103.91381061225363,111,16.58443052,16.58523551,0.80499,0
6,0.5753395371568418,0.5663042082427252,28.380171151091595,32.865894922199374,24.471402184305813,-0.01944930309384709,85.71746825759678,91,16.58513213,16.58573659,0.60446,0
7,0.5508989949663763,0.5526041757959541,28.83082970544224,36.86227861546585,27.457147900489154,-0.019973777236767562,93.15025622139724,99,16.68740117,16.68802193,0.6207600000000001,0
8,0.611012448064081,0.5077510760059303,41.85711579307034,57.77931876412417,31.130147633767574,-0.03200547148598545,130.76658219096208,139,16.68951795,16.69051264,0.9946900000000001,0
9,0.5224898858705839,0.5571127030094519,29.331659448801723,38.826492708955506,31.31609170542005,-0.02516381890873516,99.47424386317728,106,16.69033356,16.69111562,0.78206,0
10,0.5895440306211885,0.4899646968779359,31.134876138657553,47.828371857301086,25.323498686029073,-0.024891285412383234,104.28674668198772,111,16.75463645,16.75541004,0.77359,0
11,0.7326915873072614,0.6692837218017113,40.6039299392546,23.823821522877484,17.305562774306395,-0.025551221895285005,81.73331423643847,86,25.06954152,25.07033562,0.7941,0
12,0.5608850890757908,0.483673498883161,37.30888473851727,61.77741742984771,34.12265320356458,-0.03228122261511602,133.20895537192956,142,25.07153464,25.0725379,1.00326,0
13,0.5155313122972608,0.520048675035115,42.86545884126391,66.7613148812146,47.05918228826318,-0.03461658048586251,156.68595601074168,167,27.65524415,27.65631999,1.07584,0
14,0.7068848850405712,0.5461928106739612,74.04077750151149,75.71238381065753,35.866312208768505,-0.04171306957918213,185.6194735209375,196,32.76583078,32.76712717,1.2963900000000002,0
15,0.39596876583582946,0.5144217454768529,55.72459349347376,115.57000781782463,99.30511318444334,-0.06236190617291113,270.59971449574175,290,36.82603331,36.82797144,1.9381300000000001,0
16,0.6443048267860798,0.5077797366347181,50.96857761514749,66.71361956700757,32.87118315115248,-0.041533847433411146,150.55338033330753,160,46.48941982,46.49071064,1.29082,0
17,0.4591456142246505,0.5435061150182942,30.66031903751657,48.795077430828634,42.19226308036248,-0.02971998692330808,121.64765954870768,130,50.80471699,50.80564065,0.9236599999999999,0
18,0.6444869452888713,0.553350300808677,43.884751248828856,47.817367635584326,28.280123687421337,-0.02648723127059522,119.98224257183452,127,52.56370731,52.564530500000004,0.82319,0
19,0.5865091959804101,0.4834352509839827,40.24117856359333,63.78250466379862,33.14270539546126,-0.03154341941897085,137.16638862285322,146,53.185923110000004,53.18690344,0.9803299999999999,0
20,0.634138199197532,0.5386376225555364,128.88933597636841,151.45995228909854,86.8713107286096,-0.07832329533469816,367.22059899407657,389,53.36590429,53.36833848,2.43419,0
21,0.5889630381192518,0.5036219370740371,75.26873066031271,109.58566442924703,61.366826362906,-0.06009122272101557,246.22122145246576,262,63.48981639,63.49168395,1.86756,0
22,0.4069028716390624,0.5645957423412814,25.95489218893625,42.795962649470766,44.19575231916177,-0.02959160337543982,112.94660715756879,121,66.12090633,66.121826,0.91967,0
23,0.6363424097124799,0.5450875678566292,34.90111689739108,39.82256579918965,23.300613127287853,-0.025733339910556777,98.02429582386858,104,70.04510363,70.04590339,0.79976,0
24,0.46877805331350364,0.47040212054936187,80.1791725058489,167.52920123515602,106.14426714625945,-0.06828009814268794,353.85264088726433,378,70.05430448,70.05642654,2.12206,0
25,0.55243140781161,0.4414757235520869,34.02878401956213,67.79888453656774,32.207269430687255,-0.02916784113849119,134.0349379868171,143,70.05653611,70.05744261,0.9065,0
26,0.5864354946504152,0.4733744749898404,28.382669989232575,46.84349822497545,23.383121819195914,-0.02269750338389749,98.60929003340394,105,87.09760381,87.09830922,0.7054100000000001,0
27,0.7203075962219345,0.6921596710623591,40.70071169785249,21.86364083162191,18.46251730555874,-0.019776214584158253,81.02686983503314,85,88.91532138000001,88.915936,0.6146199999999999,0
28,0.571619577457199,0.626512360671412,51.5608596673147,46.78201213613307,45.140764014475195,-0.03161485086665695,143.48363581792296,152,89.53132344000001,89.53230599,0.98255,0
29,0.12466009385633092,0.6629230280409939,17.354241041209402,61.58336374821472,142.3577578400116,-0.060424891240161906,221.29536262943572,240,98.50683492,98.50871285000001,1.87793,0
30,0.6922346755231584,0.5221242728632536,48.505472739776984,55.79531482028905,25.19319879101793,-0.029685558252576492,129.49398635108395,137,98.51890928,98.51983187,0.92259,0
31,0.6130364095774687,0.6533023084320696,32.96097016040685,24.82388364348395,24.305807633169504,-0.025542212523504776,82.0906614370603,87,99.81971920000001,99.82051302,0.79382,0
